Order,Nsturgeon2016,NSturgeon2017,NSturgeon2018,Date
1,0,28,0,5/17
2,0,391,0,5/18
3,0,1354,0,5/19
4,0,4390,0,5/20
5,0,5220,0,5/21
6,7,2473,0,5/22
7,202,1853,0,5/23
8,513,1219,3469,5/24
9,706,494,16897,5/25
10,672,217,13345,5/26
11,504,148,5722,5/27
12,296,88,2771,5/28
13,248,84,1484,5/29
14,129,156,916,5/30
15,72,84,554,5/31
16,43,108,198,6/1
17,134,90,11,6/2
18,167,64,7,6/3
19,86,50,4,6/4
20,19,32,3,6/5
21,8,185,0,6/6
22,8,152,1,6/7
23,3,52,0,6/8
24,1,42,0,6/9
25,2,27,0,6/10
26,0,30,47,6/11
27,0,85,212,6/12
28,13,17,571,6/13
29,27,2,410,6/14
30,39,0,221,6/15
31,17,0,67,6/16
32,31,0,16,6/17
33,46,0,5,6/18
34,26,0,1,6/19
35,18,0,0,6/20
36,9,0,0,6/21
37,6,0,0,6/22
38,1,0,0,6/23
