Order,Nsturgeon2016,NSturgeon2017,NSturgeon2018,AveTemp2016,AveTemp2017,AveTemp2018,Date
1,0,28,0,11.36,16.88,17.49,17-May
2,0,391,0,12.22,17.38,17.52,18-May
3,0,1354,0,13.48,16.20,16.21,19-May
4,0,4390,0,14.99,16.07,15.02,20-May
5,0,5220,0,15.99,15.57,15.69,21-May
6,7,2473,0,16.64,14.37,15.80,22-May
7,202,1853,0,17.64,14.58,16.26,23-May
8,513,1219,3469,18.07,14.71,17.44,24-May
9,706,494,16897,18.77,14.40,19.18,25-May
10,672,217,13345,19.69,14.89,21.26,26-May
11,504,148,5722,20.33,16.22,21.87,27-May
12,296,88,2771,21.43,16.41,22.58,28-May
13,248,84,1484,21.93,16.50,23.51,29-May
14,129,156,916,21.48,16.77,23.62,30-May
15,72,84,554,21.75,16.37,22.77,31-May
16,43,108,198,20.84,15.36,21.67,1-Jun
17,134,90,11,19.92,15.50,20.63,2-Jun
18,167,64,7,19.92,17.05,19.05,3-Jun
19,86,50,4,20.49,17.26,17.61,4-Jun
20,19,32,3,19.39,17.82,16.88,5-Jun
21,8,185,0,18.43,18.55,16.69,6-Jun
22,8,152,1,17.62,19.82,17.06,7-Jun
23,3,52,0,16.75,20.32,18.30,8-Jun
24,1,42,0,17.02,20.82,19.47,9-Jun
25,2,27,0,18.14,21.48,19.57,10-Jun
26,0,30,47,19.30,21.64,19.92,11-Jun
27,0,85,212,19.14,21.94,20.11,12-Jun
28,13,17,571,18.91,22.81,19.98,13-Jun
29,27,2,410,19.85,22.98,20.48,14-Jun
30,39,0,221,19.24,22.81,21.42,15-Jun
31,17,0,67,18.96,22.76,21.51,16-Jun
32,31,0,16,19.68,23.07,21.86,17-Jun
33,46,0,5,20.17,22.87,21.84,18-Jun
34,26,0,1,21.69,21.97,22.27,19-Jun
35,18,0,0,22.26,21.23,21.98,20-Jun
36,9,0,0,21.96,20.63,22.43,21-Jun
37,6,0,0,21.98,20.19,21.93,22-Jun
38,1,0,0,21.98,19.57,20.91,23-Jun
